Month_Year,Customer_Desc,Customer_ID,Parent_Customer,CPR_Account_Head,Actuals,Budget
01-02-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Indirect Costs,555,0
01-01-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Direct Costs,-3465.011829,0
01-01-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Direct Costs,14954.72,0
01-01-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Direct Costs,33062.88756,0
01-02-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Revenue,8019.513537,0
01-02-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Revenue,17061.04488,0
01-01-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Account Management,1.19937719,0
01-01-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Account Management,1595.296862,0
01-01-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Corp Bench Allocation,668.2891829,0
01-02-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Corp Bench Allocation,376.2082317,0
01-01-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Corporate Overheads,4366.154085,0
01-02-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Corporate Overheads,2457.894549,0
01-01-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Direct Costs,10.52,0
01-02-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Direct Costs,42.14,0
01-01-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Indirect Costs,174.22,0
01-01-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Revenue,72.98,0
01-01-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Indirect Costs,47.75,0
01-02-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Indirect Costs,148.85,0
01-02-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Indirect Costs,45,0
01-02-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Revenue,131.15,0
01-01-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Indirect Costs,3.34,0
01-02-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Indirect Costs,0.55,0
01-02-2025,Avison Young (USA) Inc.,1345902,AVISON YOUNG,Indirect Costs,3,0
